url,year_of_pass,Label,Up,Down
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1601_004582&category=dirSer,1601,정호선(丁好善),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1605_004678&category=dirSer,1605,임장(任章),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1606_004783&category=dirSer,1606,강홍중(姜弘重),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1608_004803&category=dirSer,1608,이창정(李昌庭),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1609_004838&category=dirSer,1609,윤민헌(尹民獻),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1610_004898&category=dirSer,1610,이현(李𥙆),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1612_004964&category=dirSer,1612,엄성(嚴惺),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1616_005090&category=dirSer,1616,이명한(李明漢),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1616_005112&category=dirSer,1616,정지경(鄭之經),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1623_005305&category=dirSer,1623,송시길(宋時吉),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1624_005400&category=dirSer,1624,조빈(趙贇),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1626_005458&category=dirSer,1626,이무(李袤),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1627_005487&category=dirSer,1627,유영(柳潁),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1628_005541&category=dirSer,1628,이행건(李行健),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1629_005576&category=dirSer,1629,신상(申恦),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1638_005820&category=dirSer,1638,이후산(李後山),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1644_005934&category=dirSer,1644,이경억(李慶億),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1651_006157&category=dirSer,1651,김수항(金壽恒),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1651_006169&category=dirSer,1651,이지안(李志安),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1652_006195&category=dirSer,1652,정만화(鄭萬和),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1653_006215&category=dirSer,1653,홍주삼(洪柱三),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1654_006244&category=dirSer,1654,여성제(呂聖齊),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1660_006375&category=dirSer,1660,박세당(朴世堂),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1660_006377&category=dirSer,1660,윤심(尹深),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1660_006383&category=dirSer,1660,조가석(趙嘉錫),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1662_006439&category=dirSer,1662,이성징(李星徵),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1664_006496&category=dirSer,1664,민시중(閔蓍重),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1665_006527&category=dirSer,1665,임상원(任相元),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1666_006544&category=dirSer,1666,박신(朴紳),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1666_006581&category=dirSer,1666,윤진(尹搢),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1668_006608&category=dirSer,1668,서문상(徐文尙),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1669_006638&category=dirSer,1669,안식(安烒),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1678_006832&category=dirSer,1678,이언강(李彦綱),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1678_006848&category=dirSer,1678,이수징(李壽徵),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1680_006938&category=dirSer,1680,강현(姜鋧),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1680_006950&category=dirSer,1680,서종태(徐宗泰),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1684_007094&category=dirSer,1684,서문유(徐文裕),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1682_007009&category=dirSer,1682,김구(金構),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1682_007012&category=dirSer,1682,이덕성(李德成),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1683_007079&category=dirSer,1683,이식(李湜),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1686_007149&category=dirSer,1686,홍중하(洪重夏),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1687_007187&category=dirSer,1687,이광하(李光夏),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1693_007373&category=dirSer,1693,이진수(李震壽),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1694_007436&category=dirSer,1694,조정위(趙正緯),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1697_007524&category=dirSer,1697,유봉휘(柳鳳輝),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1699_007614&category=dirSer,1699,홍만적(洪萬迪),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1705_007712&category=dirSer,1705,윤세수(尹世綏),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1709_007852&category=dirSer,1709,신사철(申思喆),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1714_008027&category=dirSer,1714,유척기(兪拓基),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1754_009475&category=dirSer,1754,서명응(徐命膺),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1766_009977&category=dirSer,1766,민종열(閔鍾烈),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1770_010126&category=dirSer,1770,민백분(閔百奮),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1770_010128&category=dirSer,1770,민양렬(閔養烈),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1772_010259&category=dirSer,1772,서유신(徐有臣),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1772_010267&category=dirSer,1772,이태영(李泰永),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1718_008149&category=dirSer,1718,홍현보(洪鉉輔),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1722_008287&category=dirSer,1722,윤용(尹容),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1723_008347&category=dirSer,1723,이철보(李喆輔),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1725_008395&category=dirSer,1725,서종옥(徐宗玉),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1725_008441&category=dirSer,1725,민형수(閔亨洙),4,2
